"labels","variable","value"
1,"deadWorld",85.5
1,"debrisNum",7.5
1,"grassNum",29.25
1,"rabbitEn",77.625
1,"rabbitFa",7.625
1,"rabbitNum",14.875
1,"rabbitRe",103.8375
1,"wolfEn",299.5
1,"wolfFa",17.625
1,"wolfNum",2.875
1,"wolfRe",399.875
2,"deadWorld",79.625
2,"debrisNum",17.125
2,"grassNum",23
2,"rabbitEn",70.375
2,"rabbitFa",9
2,"rabbitNum",16.75
2,"rabbitRe",98.25
2,"wolfEn",296.125
2,"wolfFa",20.25
2,"wolfNum",2.25
2,"wolfRe",401.375
3,"deadWorld",56.75
3,"debrisNum",7.75
3,"grassNum",26.125
3,"rabbitEn",67.875
3,"rabbitFa",8
3,"rabbitNum",13.375
3,"rabbitRe",103.625
3,"wolfEn",300.75
3,"wolfFa",20.5
3,"wolfNum",3.25
3,"wolfRe",402.875
4,"deadWorld",143.5
4,"debrisNum",12.375
4,"grassNum",25.625
4,"rabbitEn",62.25
4,"rabbitFa",7.5
4,"rabbitNum",18.625
4,"rabbitRe",106
4,"wolfEn",285.375
4,"wolfFa",8
4,"wolfNum",5.5
4,"wolfRe",390.875
5,"deadWorld",311.75
5,"debrisNum",21.5
5,"grassNum",32.5
5,"rabbitEn",34.375
5,"rabbitFa",5
5,"rabbitNum",15.75
5,"rabbitRe",72.5
5,"wolfEn",296.25
5,"wolfFa",5
5,"wolfNum",5.25
5,"wolfRe",405
6,"deadWorld",425.125
6,"debrisNum",29.5
6,"grassNum",40.5
6,"rabbitEn",25
6,"rabbitFa",5
6,"rabbitNum",18
6,"rabbitRe",35.5
6,"wolfEn",310
6,"wolfFa",5
6,"wolfNum",6
6,"wolfRe",406.25
7,"deadWorld",456.5
7,"debrisNum",37.5
7,"grassNum",48.5
7,"rabbitEn",25
7,"rabbitFa",5
7,"rabbitNum",14
7,"rabbitRe",28
7,"wolfEn",290
7,"wolfFa",5
7,"wolfNum",11
7,"wolfRe",420
8,"deadWorld",382.5
8,"debrisNum",45.5
8,"grassNum",54
8,"rabbitEn",25
8,"rabbitFa",5
8,"rabbitNum",17
8,"rabbitRe",28
8,"wolfEn",298.75
8,"wolfFa",5
8,"wolfNum",9.25
8,"wolfRe",405
9,"deadWorld",329.375
9,"debrisNum",53.25
9,"grassNum",50
9,"rabbitEn",25
9,"rabbitFa",5
9,"rabbitNum",13
9,"rabbitRe",28
9,"wolfEn",295
9,"wolfFa",5
9,"wolfNum",11.25
9,"wolfRe",417.5
10,"deadWorld",383.666666666667
10,"debrisNum",53
10,"grassNum",52
10,"rabbitEn",25
10,"rabbitFa",5
10,"rabbitNum",17
10,"rabbitRe",28
10,"wolfEn",295
10,"wolfFa",5
10,"wolfNum",10
10,"wolfRe",395
