labels,variable,value
1,deadWorld,53.285714285714285
1,debrisNum,12.0
1,grassNum,23.428571428571427
1,rabbitEn,72.0
1,rabbitFa,10.0
1,rabbitNum,16.142857142857142
1,rabbitRe,99.2
1,wolfEn,306.2857142857143
1,wolfFa,17.714285714285715
1,wolfNum,2.4285714285714284
1,wolfRe,388.7142857142857
2,deadWorld,58.285714285714285
2,debrisNum,8.428571428571429
2,grassNum,22.428571428571427
2,rabbitEn,67.28571428571429
2,rabbitFa,10.714285714285714
2,rabbitNum,16.714285714285715
2,rabbitRe,96.0
2,wolfEn,297.57142857142856
2,wolfFa,18.142857142857142
2,wolfNum,2.2857142857142856
2,wolfRe,396.14285714285717
3,deadWorld,30.0
3,debrisNum,10.857142857142858
3,grassNum,25.142857142857142
3,rabbitEn,73.71428571428571
3,rabbitFa,12.142857142857142
3,rabbitNum,13.285714285714286
3,rabbitRe,104.0
3,wolfEn,296.85714285714283
3,wolfFa,22.857142857142858
3,wolfNum,4.0
3,wolfRe,400.85714285714283
4,deadWorld,135.42857142857142
4,debrisNum,23.857142857142858
4,grassNum,34.0
4,rabbitEn,50.57142857142857
4,rabbitFa,8.571428571428571
4,rabbitNum,19.571428571428573
4,rabbitRe,93.28571428571429
4,wolfEn,303.0
4,wolfFa,16.428571428571427
4,wolfNum,3.0
4,wolfRe,403.85714285714283
5,deadWorld,277.85714285714283
5,debrisNum,41.57142857142857
5,grassNum,73.57142857142857
5,rabbitEn,37.57142857142857
5,rabbitFa,5.0
5,rabbitNum,33.285714285714285
5,rabbitRe,49.285714285714285
5,wolfEn,323.2857142857143
5,wolfFa,12.285714285714286
5,wolfNum,1.1428571428571428
5,wolfRe,362.42857142857144
6,deadWorld,199.85714285714286
6,debrisNum,41.57142857142857
6,grassNum,88.57142857142857
6,rabbitEn,62.57142857142857
6,rabbitFa,6.428571428571429
6,rabbitNum,42.0
6,rabbitRe,68.28571428571429
6,wolfEn,325.14285714285717
6,wolfFa,17.142857142857142
6,wolfNum,1.1428571428571428
6,wolfRe,385.0
7,deadWorld,500.0
7,debrisNum,41.857142857142854
7,grassNum,85.28571428571429
7,rabbitEn,54.857142857142854
7,rabbitFa,5.0
7,rabbitNum,67.14285714285714
7,rabbitRe,72.57142857142857
7,wolfEn,291.7142857142857
7,wolfFa,7.0
7,wolfNum,1.0
7,wolfRe,389.57142857142856
8,deadWorld,439.42857142857144
8,debrisNum,41.714285714285715
8,grassNum,89.42857142857143
8,rabbitEn,59.142857142857146
8,rabbitFa,5.0
8,rabbitNum,67.57142857142857
8,rabbitRe,67.42857142857143
8,wolfEn,302.14285714285717
8,wolfFa,8.428571428571429
8,wolfNum,1.4285714285714286
8,wolfRe,381.7142857142857
9,deadWorld,366.2857142857143
9,debrisNum,42.42857142857143
9,grassNum,84.71428571428571
9,rabbitEn,58.57142857142857
9,rabbitFa,5.0
9,rabbitNum,65.85714285714286
9,rabbitRe,74.28571428571429
9,wolfEn,308.2857142857143
9,wolfFa,8.571428571428571
9,wolfNum,1.0
9,wolfRe,373.42857142857144
10,deadWorld,323.0
10,debrisNum,46.0
10,grassNum,82.33333333333333
10,rabbitEn,54.333333333333336
10,rabbitFa,5.333333333333333
10,rabbitNum,72.66666666666667
10,rabbitRe,68.66666666666667
10,wolfEn,287.3333333333333
10,wolfFa,6.333333333333333
10,wolfNum,1.0
10,wolfRe,385.3333333333333
