name,style,glass,notes
La Rosa,bubbly,,
Jersey Julep,,,
Southland Sipper,,,
Moscow Mule,built,,
Summer Negroni,,,
Blonde Redhead,,,
Daiquiri,,,
Southside Fizz,bubbly,,
Tom Collins,shaken,,
Paloma,stirred,,
Old Fashioned,built,old-fashioned,
Applejack Old Fashioned,built,old-fashioned,
Scotch Old Fashioned,built,old-fashioned,
Agave Old Fashioned,built,old-fashioned,
Rum Old Fashioned,built,old-fashioned,
Manhattan,stirred,coupe,
Bourbon Manhattan,stirred,coupe,
Sidecar,shaken,coupe,
Champs Elysees,shaken,coupe,
Martinez,stirred,coupe,
Hot Toddy,hot,mug,
Bourbon Toddy,hot,mug,
Rum Toddy,hot,mug,
Apple Toddy,hot,mug,
Scotch Toddy,hot,mug,
Hanky Panky,stirred,coupe,
The Bamboo,,,
French 75,bubbly,,
Pisco 75,bubbly,,
Tequila 75,bubbly,,
Rum 75,bubbly,,
Brandy 75,bubbly,,
Bitter French,bubbly,,
Widow's Kiss,stirred,coupe,
De La Louisiane,stirred,coupe,
Improved Whiskey Cocktail,stirred,old-fashioned,
Rusty Nail,stirred,old-fashioned,
Penicillin,stirred,coupe,
Bijou,stirred,coupe,
Brooklyn,stirred,coupe,
Vieux Carre,stirred,old-fashioned,Combine ingredients in mixing glass and stir with ice until cold, then strain into glass. Serve over one large ice cube.
Negroni,built,old-fashioned,
Boulevardier,stirred,coupe,
Old Pal,stirred,coupe,
Rob Roy,stirred,coupe,
Bobby Burns,stirred,coupe,
Blackthorn,stirred,coupe,
Pegu Club,shaken,coupe,
Brandy Crusta,shaken,coupe,
Margarita,shaken,coupe,
Last Word,shaken,coupe,
Corpse Reviver #2,shaken,coupe,
Gimlet,shaken,coupe,
20th Century Cocktail,shaken,coupe,
Bee's Knees,shaken,coupe,
Southside Cocktail,shaken,coupe,
Gold Rush,shaken,old-fashioned,
Cosmopolitan,shaken,coupe,
Original Cosmopolitan,shaken,coupe,
Brown Derby,shaken,coupe,
Hemingway Daiquiri,shaken,coupe,
Classic Daiquiri,shaken,coupe,
Honeysuckle,shaken,coupe,
Brandy Alexander,shaken,coupe,
Blood and Sand,shaken,coupe,
Whiskey Sour,fizz,coupe,
Pisco Sour,fizz,coupe,Dry shake all except bitters (no ice) for 10 seconds. Then add ice and shake until cold. Strain into glass and top with bitters.
Champagne Cocktail,bubbly,flute,Drop sugar cube into the flute and douse with the bitters. Then pour in champagne and enjoy.
Sazerac,stirred,old-fashioned,Add the absinthe to the glass and roll it around then discard the extra. Stir the other liquid ingredients with ice until cold then strain into glass. Rub the lemon peel around the rim of the glass then rest on it on the rim.
Abbey Cocktail,shaken,coupe,
Alaska Cocktail,stirred,coupe,
Angostura Fizz,fizz,coupe,Dry shake all but soda water (no ice) for 10 seconds. Then add ice and shake until cold. Strain into glass and top with soda water.
Corn 'n' Oil,built,old-fashioned,
Harvard Cocktail,shaken,coupe,
Japanese Cocktail,stirred,coupe,
Old Hickory,built,old-fashioned,
Pink Gin,stirred,coupe,
Scofflaw Cocktail,shaken,coupe,
Seelbach Cocktail,bubbly,coupe,
Toronto,stirred,coupe,
The Bitter Handshake,stirred,old-fashioned,Make syrup by combining rye and sugar 1:1 then heating until combined. Simmer blood orange juice until reduced by a third or so then let cool. Stir all ingredients with ice until cold and then strain into an old-fashioned glass with one large ice cube.
Black Feather,stirred,coupe,
Cricket Ball,bubbly,flute,Drop sugar cube in the flute and douse with the bitters. Add the Lillet and then add the champagne and stir lightly.
Gargoyle and Spire,bubbly,highball,
Sawyer,shaken,old-fashioned,
Trident,stirred,coupe,
Zim Zala Bim,stirred,coupe,Stir with no ice until sugar dissolves. Then add ice and stir until chilled. Strain into glass. Squeeze the oil from the lemon peel over the glass and discard.
Bitter Guiseppe,stirred,coupe,
Ramos Gin Fizz,fizz,collins,Dry shake all but soda water (no ice) for 60 seconds. Then add ice and shake until cold. Strain into glass and top with soda water.
Alabazam,shaken,coupe,
Ode To Viceroy,shaken,old-fashioned,
Montegomatica,shaken,hurricane,Shake all but mint and blackstrap rum until cold and strain into glass. Garnish with mint sprig and float the blackstrap rum over the back of a spoon.
Chartreuse Swizzle,swizzle,Collins,Pour all ingredients except garnishes into glass over crushed ice. Swizzle until frost appears on glass and then top with more crushed ice. Top with mint sprig and freshly grated nutmeg.
Landing Gear Fizz,shaken,Collins,
Jungle Bird,shaken,old-fashioned,
Goslings Swizzle,swizzle,Collins,Pour all ingredients except garnishes into glass over crushed ice. Swizzle until frost appears on glass and then top with more crushed ice. Top with mint sprig and quarter of a spent orange.
Mojito,shaken,highball,Lightly muddle mint leaves in shaker. Add everything except club soda and shake until cold. Strain in glass and top with club soda and mint sprig.
Baker Street Swizzle,swizzle,Collins,Muddle mint leaves with falernum in glass. Pour in absinthe, lemon juice, and crushed ice. Swizzle until frost appears on glass and then top with more crushed ice. Top with the bitters and garnish with mint sprigs.
Esplanade Swizzle,swizzle,Collins,Pour all ingredients except garnishes into glass over crushed ice. Swizzle until frost appears on glass and then top with more crushed ice. Top with mint sprig.
Planter's Punch,shaken,old-fashioned,
Cuba Kola,shaken,old-fashioned,
100 Year-Old Cigar,stirred,coupe,Add the absinthe to the glass and roll it around then discard the extra. Stir the other ingredients with ice until cold then strain into glass.
Mai Tai,shaken,Collins,
